ykiho,yadmNm,addr,telno,XPos,YPos,clCd,clCdNm,hospUrl,_source_label,coord_ok
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxMzUxIzIxIyQxIyQ5IyQ3OSQyNjEwMDIjODEjJDEjJDIjJDgz,지혜소아청소년과의원,"서울특별시 은평구 연서로 35, 1층 (역촌동)",02-386-6781,126.915578,37.6022741,31,의원,,서울_피부과,1
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxOTYxIzQxIyQxIyQ3IyQxMyQ0NjE0ODEjNzEjJDEjJDgjJDgz,지힐링스퀘어의원,"서울특별시 강남구 도산대로 122, 에메랄드타워 5층, 6층, 7층 (논현동)",02-546-2575,127.0221405,37.516854,31,의원,,서울_피부과,1
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxOTYxIzUxIyQyIyQxIyQwMCQzNjE0ODEjNzEjJDEjJDgjJDgz,진가정의학과의원,"서울특별시 구로구 디지털로33길 11, 에이스테크노타워8차 201호 (구로동)",02-2025-7120,126.8954779,37.4856729,31,의원,http://jinfamily.co.kr,서울_피부과,1
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMzUxIzIxIyQxIyQ5IyQxMyQ0NjE0ODEjNTEjJDEjJDIjJDgz,진내과의원,"서울특별시 금천구 독산로 199, 2층 (독산동)",02-802-0075,126.9025488,37.4646824,31,의원,,서울_피부과,1
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxNzAyIzQxIyQxIyQ3IyQ4MiQyNjEwMDIjODEjJDEjJDYjJDgz,진내과의원,"서울특별시 노원구 동일로204가길 34, 306호 (중계동, 씨앤미복합빌딩)",02-949-8278,127.06816,37.6407272,31,의원,,서울_피부과,1
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxMzUxIzMxIyQyIyQzIyQwMCQzNjEwMDIjODEjJDEjJDYjJDgz,진비뇨기과의원,"서울특별시 동작구 상도로 102, (상도동)",02-825-6563,126.9317763,37.4999427,31,의원,,서울_피부과,1
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxNzAyIzQxIyQxIyQ3IyQ5OSQyNjE0ODEjNDEjJDEjJDgjJDgz,진산부인과의원,"서울특별시 강동구 천호대로 1006, 101동 604,605호 (성내동, 브라운스톤)",02-484-4488,127.1237896,37.5380133,31,의원,,서울_피부과,1
JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNDgxOTYxIzIxIyQxIyQ5IyQ4OSQzNjEwMDIjNDEjJDEjJDgjJDgz,진성형외과의원,"서울특별시 강남구 강남대로 412, 501호 (역삼동)",02-566-6131,127.0272984,37.4995184,31,의원,http://www.drchin.co.kr,서울_피부과,1
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxMTkxIzIxIyQyIyQ5IyQwMCQyNjEwMDIjNDEjJDEjJDgjJDgz,진앤미의원,"서울특별시 관악구 청룡길 48, 2층 (봉천동, 창안빌딩)",02-542-7533,126.9458054,37.4796458,31,의원,,서울_피부과,1
JDQ4MTg4MSM1MSMkMiMkMCMkMDAkMzgxNzAyIzMxIyQxIyQ3IyQ4MiQyNjE0ODEjODEjJDEjJDYjJDgz,진홍상피부과의원,"서울특별시 강서구 등촌로 23, (화곡동)",02-2651-0550,126.8634668,37.5319903,31,의원,,서울_피부과,1
JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxMTkxIzMxIyQxIyQzIyQ3MiQyNjEyMjIjNTEjJDEjJDYjJDgz,차 재활의학과의원,"서울특별시 금천구 시흥대로 335, 2,3층 (독산동)",02-806-4573,126.8970864,37.4634798,31,의원,,서울_피부과,1
JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxMzUxIzMxIyQyIyQ3IyQwMCQyNjE0ODEjODEjJDEjJDIjJDgz,차민성형외과의원,"서울특별시 서초구 강남대로 503, 청하빌딩 4, 5, 6층 (반포동)",02-517-0120,127.0228728,37.5068743,31,의원,http://chaminst.com/,서울_피부과,1
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNTgxMzUxIzMxIyQxIyQ3IyQ3MiQ0NjEwMDIjNjEjJDEjJDgjJDgz,차봉연엔도내과의원,"서울특별시 관악구 쑥고개로 110, 2층 (봉천동)",02-1522-3787,126.9485944,37.4789345,31,의원,,서울_피부과,1
JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNDgxMzUxIzExIyQxIyQzIyQxMyQyNjE4MzIjNTEjJDEjJDIjJDgz,차성수의원,"서울특별시 도봉구 삼양로 582, (쌍문동)",902-3443,127.0133196,37.6550459,31,의원,,서울_피부과,1
JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxMzUxIzIxIyQxIyQxIyQ3OSQ0NjEwMDIjNjEjJDEjJDAjJDgz,차소연의원,"서울특별시 강남구 도산대로 415, 갤러리제이씨빌딩 5층 (청담동)",02-512-8883,127.0409346,37.5237755,31,의원,,서울_피부과,1
JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNTgxMzUxIzIxIyQxIyQ5IyQ2MiQzNjE0ODEjNDEjJDEjJDgjJDgz,차앤박피부과의원,"서울특별시 서대문구 신촌로 99, 6층 (창천동, 엘리트빌딩)",02-3147-0300,126.9371958,37.5556897,31,의원,http://www.cnpskin.com,서울_피부과,1
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxOTYxIzMxIyQxIyQ3IyQ3MiQyNjEyMjIjNDEjJDEjJDgjJDgz,차앤박피부과의원,"서울특별시 강동구 천호대로 1033, 4층 (천호동, 강동빌딩)",02-485-4650,127.126974,37.5378953,31,의원,http://www.cnpskin.com,서울_피부과,1
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxNzAyIzExIyQxIyQ3IyQ5MiQ0NjEwMDIjNDEjJDEjJDgjJDgz,차앤박피부과의원,"서울특별시 노원구 노해로 495, (상계동, 삼용빌딩)",02-933-0571,127.0631037,37.6551207,31,의원,http://www.cnpskin.com/hos/main.php?groupid=cnpskin18,서울_피부과,1
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMzUxIzExIyQyIyQzIyQwMCQzNjE0ODEjNDEjJDEjJDgjJDgz,차앤박피부과의원,"서울특별시 성북구 동소문로 116, 지상3층 (동선동1가)",02-922-2900,127.0179551,37.5932314,31,의원,http://www.cnpskin.com,서울_피부과,1
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxOTYxIzUxIyQxIyQxIyQxMyQzNjEyMjIjNzEjJDEjJDgjJDgz,차앤박피부과의원,"서울특별시 광진구 아차산로 241, 4층 402호 (화양동)",02-465-4227,127.0701725,37.5405171,31,의원,,서울_피부과,1
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxNzAyIzUxIyQxIyQ1IyQxMyQyNjE0ODEjNTEjJDEjJDYjJDgz,차앤유의원,"서울특별시 강서구 양천로 452, b03-1, 1층 일부, 2층호 (등촌동)",02-3664-9003,126.8508201,37.5628582,31,의원,,서울_피부과,1
JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxMTkxIzExIyQxIyQ3IyQ4MiQzNjE0ODEjNDEjJDEjJDgjJDgz,차연합비뇨의학과의원,"서울특별시 마포구 양화로 66, 메디원 메디컬센터 3층 (서교동)",02-333-9111,126.9160813,37.550593,31,의원,,서울_피부과,1
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxOTYxIzIxIyQxIyQ1IyQ5OSQ0NjE0ODEjNDEjJDEjJDgjJDgz,차이마취통증의학과의원,"서울특별시 관악구 봉천로 488, 10층 (봉천동, 서호빌딩 )",02-884-0075,126.9539222,37.4814864,31,의원,,서울_피부과,1
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNTgxMzUxIzExIyQxIyQ3IyQxMyQyNjE0ODEjNDEjJDEjJDQjJDgz,차이의원,"서울특별시 마포구 월드컵로3길 14, 303~305호 (합정동, 마포한강2차푸르지오)",02-6933-6626,126.9119,37.5512008,31,의원,,서울_피부과,1
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxNzAyIzIxIyQxIyQ5IyQ4OSQzNjE4MzIjNTEjJDEjJDIjJDgz,차인혜내과의원,"서울특별시 서초구 방배로 174, 2층 (방배동, 태창빌딩)",02-3481-1919,126.9930611,37.4891828,31,의원,,서울_피부과,1
JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxOTYxIzUxIyQxIyQxIyQ4OSQzNjE4MzIjODEjJDEjJDYjJDgz,참고은의원,"서울특별시 동작구 상도로 92, 성대메디컬 6층 (상도동)",02-3280-7922,126.9309795,37.4996579,31,의원,,서울_피부과,1
JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxMzUxIzMxIyQxIyQ3IyQ4MiQyNjE4MzIjNjEjJDEjJDAjJDgz,참나은내과의원,"서울특별시 서초구 효령로 120, 4,5층 (방배동)",02-3486-8275,126.9974386,37.4810847,31,의원,,서울_피부과,1
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxOTYxIzIxIyQxIyQxIyQ4OSQyNjE0ODEjNDEjJDEjJDQjJDgz,참내과의원,"서울특별시 송파구 동남로 141, 2층 (가락동, 옥산빌딩)",02-430-9168,127.1262653,37.4919038,31,의원,http://www.charm-clinic.com/,서울_피부과,1
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxNzAyIzExIyQxIyQzIyQ3OSQyNjE0ODEjNTEjJDEjJDIjJDgz,참내과의원,"서울특별시 노원구 동일로203가길 29, 291호 (중계동, 브라운스톤 중계)",02-977-7588,127.0642714,37.6399301,31,의원,,서울_피부과,1
